dataset_id,sample_id,method,sender_id,receiver_id,score,distance,mechanism,sender_type,receiver_type
demo_ds1,s1,ours,s1_S00,s1_R00,0.230674412478624,0.4859463739234189,secretion,Stromal,Stromal
demo_ds1,s1,ours,s1_S00,s1_R01,0.18892081480049872,0.4921744315881869,secretion,Stromal,Stromal
demo_ds1,s1,ours,s1_S00,s1_R02,0.3269992560670681,0.39767816092381564,secretion,Stromal,Endo
demo_ds1,s1,ours,s1_S00,s1_R03,0.29230420984963856,0.4919385071382651,secretion,Stromal,Endo
demo_ds1,s1,ours,s1_S00,s1_R04,0.1777739201411691,0.6033338662031992,secretion,Stromal,Stromal
demo_ds1,s1,ours,s1_S00,s1_R05,0.272481715776192,0.4126520532369485,secretion,Stromal,Endo
demo_ds1,s1,ours,s1_S00,s1_R06,0.2387355070206269,0.516695353414011,secretion,Stromal,Endo
demo_ds1,s1,ours,s1_S00,s1_R07,0.12085161903306446,0.52317411797732,secretion,Stromal,Tumor
demo_ds1,s1,ours,s1_S00,s1_R08,0.0,0.522125944442961,contact,Stromal,Endo
demo_ds1,s1,ours,s1_S00,s1_R09,0.0,0.4498783624698789,contact,Stromal,Stromal
demo_ds1,s1,ours,s1_S00,s1_R10,0.1713545805007722,0.6845646000811415,secretion,Stromal,Tumor
demo_ds1,s1,ours,s1_S00,s1_R11,0.2643444325192345,0.653002254378657,secretion,Stromal,Tumor
demo_ds1,s1,ours,s1_S00,s1_R12,0.13486603023490118,0.6614882822469558,secretion,Stromal,Stromal
demo_ds1,s1,ours,s1_S00,s1_R13,0.11315668606367968,0.7811018706973778,secretion,Stromal,Endo
demo_ds1,s1,ours,s1_S00,s1_R14,0.12264175929185844,0.6045932348621318,secretion,Stromal,Stromal
demo_ds1,s1,ours,s1_S00,s1_R15,0.03182339914022279,0.6493606654692627,contact,Stromal,Tumor
demo_ds1,s1,ours,s1_S00,s1_R16,0.11287076334251633,0.6706079956507575,secretion,Stromal,Stromal
demo_ds1,s1,ours,s1_S00,s1_R17,0.09194413707381839,0.777825935122896,secretion,Stromal,Tumor
demo_ds1,s1,ours,s1_S00,s1_R18,0.0,0.6650154845982974,contact,Stromal,Endo
demo_ds1,s1,ours,s1_S00,s1_R19,0.016717038657774387,0.7510189183346981,contact,Stromal,Stromal
demo_ds1,s1,ours,s1_S01,s1_R00,0.28368781023845946,0.5577400007769941,secretion,Stromal,Stromal
demo_ds1,s1,ours,s1_S01,s1_R01,0.16351212236219143,0.5609132386744541,secretion,Stromal,Stromal
demo_ds1,s1,ours,s1_S01,s1_R02,0.2812946181903658,0.47091217506663774,secretion,Stromal,Endo
